Benchmark,Method 1,Method 2,Method 3,Method 4
-0.0003798426223170186,1.0940279862863246e-6,-0.003981851587357096,-0.000803479370310863,-0.0007257688889029979
-0.00244473435940781,3.868237337861755e-5,0.0011569867739633936,0.0006977331429356019,-0.00042077419307978025
-0.00071370026792995,0.00013357147630717865,4.0432319976422096e-5,-0.0019730054265698635,0.002013884572985718
0.0015562918347297808,4.40059839505801e-6,-0.00019897758808880338,-0.000662106844554384,-0.0012692829025814565
-0.0008966830173156211,0.00013353416427657524,-0.0016666973352253952,0.0010131175513412236,-0.0009029272820706371
-3.355231115707974e-5,0.00016198692516100524,-4.501696800034559e-5,-0.0008570252953815578,-0.0010822523230134234
0.0011843743349698906,0.00018036760354504054,0.0009693780325875833,0.0001793254486830909,0.0018166897577269155
0.002142602636315676,0.00012272905813231062,0.0010252145654580103,0.001049884719447627,-0.004815282545048367
-0.0021583807046259046,9.550972275687187e-5,0.0025485956294072896,1.3054097975780894e-5,-0.001072288477111454
-0.0014991404193650665,0.00017787642613680576,-0.0022820494138157746,0.0034856429298241198,-0.0011260164196747024
